p,length,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.004,5,2,3,5,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,
0.004,7,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,7,,,,,,,,,,,,,,
0.003,7,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,7,,,,,,,,,,,,,,
0.003,5,2,4,5,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.003,7,3,4,,,,,,,,,,,,,,,,,,,1,2,5,6,7,,,,,,,,,,,,,,,
0.003,7,5,6,,,,,,,,,,,,,,,,,,,1,2,3,4,7,,,,,,,,,,,,,,,
0.003,7,6,7,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.003,7,7,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,
0.003,7,3,5,,,,,,,,,,,,,,,,,,,1,2,4,6,7,,,,,,,,,,,,,,,
0.003,5,2,3,4,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,
0.003,7,5,7,,,,,,,,,,,,,,,,,,,1,2,3,4,6,,,,,,,,,,,,,,,
0.003,7,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,
0.003,7,3,7,,,,,,,,,,,,,,,,,,,1,2,4,5,6,,,,,,,,,,,,,,,
0.002,7,5,,,,,,,,,,,,,,,,,,,,1,2,3,4,6,7,,,,,,,,,,,,,,
0.002,6,2,3,6,,,,,,,,,,,,,,,,,,1,4,5,,,,,,,,,,,,,,,,,
0.002,6,2,3,4,,,,,,,,,,,,,,,,,,1,5,6,,,,,,,,,,,,,,,,,
