p,length,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.008,5,4,5,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,
0.007,5,3,5,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,,,,,
0.007,5,2,3,,,,,,,,,,,,,,,,,,,1,4,5,,,,,,,,,,,,,,,,,
0.006,5,3,4,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,
0.006,6,5,,,,,,,,,,,,,,,,,,,,1,2,3,4,6,,,,,,,,,,,,,,,
0.006,6,6,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.006,6,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,,,,,,,,,,,,,,,
0.005,6,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,,,,,,,,,,,,,,,
0.005,5,2,4,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,
0.005,5,2,5,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,,,,,,
0.005,6,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,
0.005,6,2,6,,,,,,,,,,,,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,
0.004,6,2,,,,,,,,,,,,,,,,,,,,1,3,4,5,6,,,,,,,,,,,,,,,
0.004,6,3,5,,,,,,,,,,,,,,,,,,,1,2,4,6,,,,,,,,,,,,,,,,
0.004,6,2,5,,,,,,,,,,,,,,,,,,,1,3,4,6,,,,,,,,,,,,,,,,
0.004,6,5,6,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
0.004,6,3,4,,,,,,,,,,,,,,,,,,,1,2,5,6,,,,,,,,,,,,,,,,
0.003,6,2,4,,,,,,,,,,,,,,,,,,,1,3,5,6,,,,,,,,,,,,,,,,
0.003,5,3,4,5,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,
0.003,6,4,5,,,,,,,,,,,,,,,,,,,1,2,3,6,,,,,,,,,,,,,,,,
0.003,4,2,3,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0.003,6,2,3,,,,,,,,,,,,,,,,,,,1,4,5,6,,,,,,,,,,,,,,,,
0.003,6,4,6,,,,,,,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,
0.003,6,3,6,,,,,,,,,,,,,,,,,,,1,2,4,5,,,,,,,,,,,,,,,,
0.003,5,2,3,5,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,
0.003,7,3,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,7,,,,,,,,,,,,,,
0.003,7,4,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,7,,,,,,,,,,,,,,
0.002,5,2,4,5,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,
0.002,7,3,4,,,,,,,,,,,,,,,,,,,1,2,5,6,7,,,,,,,,,,,,,,,
0.002,7,5,6,,,,,,,,,,,,,,,,,,,1,2,3,4,7,,,,,,,,,,,,,,,
0.002,7,6,7,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,
0.002,7,7,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,
0.002,7,3,5,,,,,,,,,,,,,,,,,,,1,2,4,6,7,,,,,,,,,,,,,,,
0.002,5,2,3,4,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,
